timestamp,gen,forecast_da,capacity_da,forecast_rt,capacity_rt
2024-01-06 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-06 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 07:00:00+09:00,0,0.427712272,1053.965,1.811024488,1053.965
2024-01-07 08:00:00+09:00,0.3016,14.43792362,1053.965,19.1559832,1053.965
2024-01-07 09:00:00+09:00,89.4372,129.805512,1053.965,140.6775989,1053.965
2024-01-07 10:00:00+09:00,281.1632,443.5591047,1053.965,380.5754992,1053.965
2024-01-07 11:00:00+09:00,494.6024,655.3284386,1053.965,553.8440167,1053.965
2024-01-07 12:00:00+09:00,627.6126,780.0289753,1053.965,730.079676,1053.965
2024-01-07 13:00:00+09:00,687.2146,824.6020948,1053.965,782.739913,1053.965
2024-01-07 14:00:00+09:00,672.5964,791.3333887,1053.965,757.2349612,1053.965
2024-01-07 15:00:00+09:00,574.6284,699.0707992,1053.965,670.9725945,1053.965
2024-01-07 16:00:00+09:00,372.0382,474.7003785,1053.965,474.3993272,1053.965
2024-01-07 17:00:00+09:00,132.92823,211.4645353,1053.965,201.8792543,1053.965
2024-01-07 18:00:00+09:00,6.162167,47.72781724,1053.965,46.22976833,1053.965
2024-01-07 19:00:00+09:00,0,23.33311837,1053.965,26.003175,1053.965
2024-01-07 20:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 21:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 22:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-07 23:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 00:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 01:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 02:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 03:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 04:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 05:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 06:00:00+09:00,0,0,1053.965,0,1053.965
2024-01-08 07:00:00+09:00,0,0.585904137,1053.965,0.242431515,1053.965
2024-01-08 08:00:00+09:00,2.2384,10.81809107,1053.965,9.7431669,1053.965
2024-01-08 09:00:00+09:00,90.59243,118.1152523,1053.965,106.2107981,1053.965
2024-01-08 10:00:00+09:00,321.3837,356.6112854,1053.965,346.1478333,1053.965
2024-01-08 11:00:00+09:00,531.1941,561.2869651,1053.965,552.2551347,1053.965
2024-01-08 12:00:00+09:00,651.7002,709.3499535,1053.965,707.4088289,1053.965
2024-01-08 13:00:00+09:00,701.7802,767.1612589,1053.965,770.5958957,1053.965
2024-01-08 14:00:00+09:00,672.4568,720.6253761,1053.965,721.404255,1053.965
2024-01-08 15:00:00+09:00,576.05117,607.8779968,1053.965,613.9688504,1053.965
2024-01-08 16:00:00+09:00,370.1432,344.8041452,1053.965,367.2192385,1053.965
2024-01-08 17:00:00+09:00,146.5242,124.2468633,1053.965,142.8954252,1053.965
2024-01-08 18:00:00+09:00,2.0826,14.19273378,1053.965,17.48887656,1053.965
