b_da,q_da,b_rt,q_rt,P_da,Q_da,Q_c,z,Profit,prob
-2.0,8800.0,-79.05999999999429,8158.99625646428,-25.98,0.0,4895.3977538785875,7095.069753878594,553415.4408025312,0.0005800000000000004
-2.0,8800.0,-79.05999999999429,8158.99625646428,-25.98,0.0,6527.197005171396,8158.99625646428,636401.7080042147,0.0008700000000000005
-2.0,8800.0,-79.05999999999429,8158.99625646428,-25.98,0.0,9790.795507757133,8158.99625646428,636401.7080042148,0.0008700000000000005
-2.0,8800.0,-79.05999999999429,8158.99625646428,-25.98,0.0,11422.594759049987,8158.99625646428,636401.7080042148,0.0005800000000000004
-2.0,8800.0,-79.05999999999354,7202.505482655735,-19.0,0.0,7202.505482655717,7202.505482655735,561795.4276471465,0.0063
-2.0,8800.0,-79.05999999999354,7202.505482655735,-19.0,0.0,4321.503289593413,6521.175289593428,508651.67258828686,0.00014000000000000001
-2.0,8800.0,-79.05999999999354,7202.505482655735,-19.0,0.0,5762.004386124603,7202.505482655735,561795.4276471465,0.00021
-2.0,8800.0,-79.05999999999354,7202.505482655735,-19.0,0.0,8643.00657918686,7202.505482655735,561795.4276471465,0.00021
-2.0,8800.0,-79.05999999999354,7202.505482655735,-19.0,0.0,10083.507675718003,7202.505482655735,561795.4276471463,0.00014000000000000001
-2.0,8800.0,-78.86249999999275,8592.27050400589,-25.98,0.0,8592.270504005835,8592.27050400589,670197.0993124578,0.012600000000000005
-2.0,8800.0,-78.86249999999275,8592.27050400589,-25.98,0.0,5155.362302403518,7355.034302403532,573692.6755874737,0.00028000000000000014
-2.0,8800.0,-78.86249999999275,8592.27050400589,-25.98,0.0,6873.816403204683,8592.27050400589,670197.0993124564,0.0004200000000000001
-2.0,8800.0,-78.86249999999275,8592.27050400589,-25.98,0.0,10310.724604807003,8592.27050400589,670197.0993124564,0.0004200000000000001
-2.0,8800.0,-78.86249999999275,8592.27050400589,-25.98,0.0,12029.178705608168,8592.27050400589,670197.0993124564,0.00028000000000000014
-2.0,8800.0,-80.0,7550.15510413885,-17.57,0.0,7550.155104138888,7550.15510413885,588912.0981228345,0.009900000000000003
-2.0,8800.0,-80.0,7550.15510413885,-17.57,0.0,4530.093062483348,6729.7650624833495,524921.6748737027,0.00022000000000000006
-2.0,8800.0,-80.0,7550.15510413885,-17.57,0.0,6040.124083311151,7550.15510413885,588912.0981228345,0.00033000000000000005
-2.0,8800.0,-80.0,7550.15510413885,-17.57,0.0,9060.186124966665,7550.15510413885,588912.0981228345,0.00033000000000000005
-2.0,8800.0,-80.0,7550.15510413885,-17.57,0.0,10570.217145794444,7550.15510413885,588912.0981228345,0.00022000000000000006
-2.0,8800.0,-78.74,8749.698374338781,-19.0,0.0,8749.698374338797,8749.698374338781,682476.4731984275,0.010800000000000004
