b_da,q_da,b_rt,q_rt,z,Profit,prob
0.0,8800.0,0.0,8159.861179656371,8159.861179656371,652788.8943725093,0.002016000000000003
0.0,8800.0,0.0,8159.861179656371,8159.861179656371,652788.8943725239,0.0038080000000000054
0.0,8800.0,0.0,8159.861179656371,8159.861179656371,652788.89437251,0.001512000000000002
0.0,8800.0,0.0,8159.861179656371,8159.861179656371,652788.8943725177,0.001960000000000003
0.0,8800.0,0.0,8404.93999198884,8404.93999198884,672395.1993591059,0.04753800000000007
0.0,8800.0,0.0,8404.93999198884,8404.93999198884,672395.199359108,0.002052000000000003
0.0,8800.0,0.0,8404.93999198884,8404.93999198884,672395.1993591107,0.0038760000000000057
0.0,8800.0,0.0,8404.93999198884,8404.93999198884,672395.1993591074,0.0015390000000000022
0.0,8800.0,0.0,8404.93999198884,8404.93999198884,672395.1993591121,0.001995000000000003
0.0,8800.0,0.0,8441.136042255788,8441.136042255788,675290.8833804633,0.03502800000000005
0.0,8800.0,0.0,8441.136042255788,8441.136042255788,675290.8833804976,0.001512000000000002
0.0,8800.0,0.0,8441.136042255788,8441.136042255788,675290.8833804637,0.002856000000000004
0.0,8800.0,0.0,8441.136042255788,8441.136042255788,675290.8833804635,0.0011340000000000015
0.0,8800.0,0.0,8441.136042255788,8441.136042255788,675290.8833804725,0.0014700000000000021
0.0,8800.0,0.0,8749.643946749713,8749.643946749713,699971.5157399791,0.02835600000000004
0.0,8800.0,0.0,8749.643946749713,8749.643946749713,699971.5157400293,0.0012240000000000018
0.0,8800.0,0.0,8749.643946749713,8749.643946749713,699971.5157400093,0.0023120000000000033
0.0,8800.0,0.0,8749.643946749713,8749.643946749713,699971.5157399795,0.0009180000000000012
0.0,8800.0,0.0,8749.643946749713,8749.643946749713,699971.5157400175,0.0011900000000000016
0.0,8800.0,0.0,7206.102396847415,7206.102396847415,576488.1917477985,0.029190000000000042
0.0,8800.0,0.0,7206.102396847415,7206.102396847415,576488.1917477972,0.0012600000000000018
0.0,8800.0,0.0,7206.102396847415,7206.102396847415,576488.1917478257,0.002380000000000003
0.0,8800.0,0.0,7206.102396847415,7206.102396847415,576488.1917477961,0.0009450000000000013
0.0,8800.0,0.0,7206.102396847415,7206.102396847415,576488.191747803,0.0012250000000000017
0.0,8800.0,0.0,6303.019993267342,6303.019993267342,504241.599461392,0.025020000000000035
0.0,8800.0,0.0,6303.019993267342,6303.019993267342,504241.59946139087,0.0010800000000000015
0.0,8800.0,0.0,6303.019993267342,6303.019993267342,504241.5994613916,0.0020400000000000027
0.0,8800.0,0.0,6303.019993267342,6303.019993267342,504241.59946138994,0.000810000000000001
0.0,8800.0,0.0,6303.019993267342,6303.019993267342,504241.5994613957,0.0010500000000000015
0.0,8800.0,0.0,7549.7142463566925,7549.7142463566925,603977.1397085395,0.026688000000000038
0.0,8800.0,0.0,7549.7142463566925,7549.7142463566925,603977.1397086183,0.0011520000000000015
0.0,8800.0,0.0,7549.7142463566925,7549.7142463566925,603977.139708604,0.002176000000000003
0.0,8800.0,0.0,7549.7142463566925,7549.7142463566925,603977.1397085399,0.0008640000000000012
0.0,8800.0,0.0,7549.7142463566925,7549.7142463566925,603977.1397085432,0.0011200000000000014
0.0,8800.0,0.0,6858.207670844104,6858.207670844104,548656.6136675328,0.023352000000000032
0.0,8800.0,0.0,6858.207670844104,6858.207670844104,548656.6136675351,0.0010080000000000013
0.0,8800.0,0.0,6858.207670844104,6858.207670844104,548656.6136675366,0.0019040000000000025
0.0,8800.0,0.0,6858.207670844104,6858.207670844104,548656.6136675333,0.0007560000000000009
0.0,8800.0,0.0,6858.207670844104,6858.207670844104,548656.613667537,0.0009800000000000013
0.0,8800.0,0.0,6365.823842606477,6365.823842606477,509265.9074085206,0.02835600000000004
0.0,8800.0,0.0,6365.823842606477,6365.823842606477,509265.9074085218,0.0012240000000000018
0.0,8800.0,0.0,6365.823842606477,6365.823842606477,509265.90740858525,0.0023120000000000033
0.0,8800.0,0.0,6365.823842606477,6365.823842606477,509265.9074085208,0.0009180000000000012
0.0,8800.0,0.0,6365.823842606477,6365.823842606477,509265.9074085229,0.0011900000000000016
